hgnc_id	symbol	name	location_sortable	alias_symbol
HGNC:51	ABCC1	ATP binding cassette subfamily C member 1	16p13.11	GS-X
HGNC:53	ABCC2	ATP binding cassette subfamily C member 2	10q24.2	"DJS|MRP2|cMRP"
HGNC:54	ABCC3	ATP binding cassette subfamily C member 3	17q21.33	"MRP3|cMOAT2|EST90757|MLP2|MOAT-D"
HGNC:55	ABCC4	ATP binding cassette subfamily C member 4	13q32.1	"MRP4|EST170205|MOAT-B|MOATB"
HGNC:56	ABCC5	ATP binding cassette subfamily C member 5	03q27.1	"MRP5|SMRP|EST277145|MOAT-C"
HGNC:57	ABCC6	ATP binding cassette subfamily C member 6	16p13.11	"MRP6|EST349056|MLP1|URG7"
HGNC:59	ABCC8	ATP binding cassette subfamily C member 8	11p15.1	"HI|PHHI|SUR1|MRP8|ABC36|HHF1|TNDM2"
HGNC:60	ABCC9	ATP binding cassette subfamily C member 9	12p12.1	"SUR2|CMD1O"
HGNC:52	ABCC10	ATP binding cassette subfamily C member 10	06p21.1	"EST182763|MRP7|SIMRP7"
HGNC:14639	ABCC11	ATP binding cassette subfamily C member 11	16q12.1	MRP8
HGNC:14640	ABCC12	ATP binding cassette subfamily C member 12	16q12.1	MRP9
HGNC:61	ABCD1	ATP binding cassette subfamily D member 1	Xq28	"AMN|ALDP|adrenoleukodystrophy"
HGNC:66	ABCD2	ATP binding cassette subfamily D member 2	12q12	"ALDR|ALDRP"
HGNC:67	ABCD3	ATP binding cassette subfamily D member 3	01p21.3	"PMP70|ZWS2"
HGNC:68	ABCD4	ATP binding cassette subfamily D member 4	14q24.3	"PMP69|P70R|EST352188"
HGNC:69	ABCE1	ATP binding cassette subfamily E member 1	04q31.21	"RLI|OABP|RLI1"
HGNC:70	ABCF1	ATP binding cassette subfamily F member 1	06p21.33	EST123147
HGNC:71	ABCF2	ATP binding cassette subfamily F member 2	07q36.1	"EST133090|ABC28|M-ABC1|HUSSY-18"
HGNC:72	ABCF3	ATP binding cassette subfamily F member 3	03q27.1	EST201864
HGNC:73	ABCG1	ATP binding cassette subfamily G member 1	21q22.3	ABC8
HGNC:74	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	04q22.1	"EST157481|MXR|BCRP|ABCP|CD338"
HGNC:13884	ABCG4	ATP binding cassette subfamily G member 4	11q23.3	WHITE2
HGNC:13886	ABCG5	ATP binding cassette subfamily G member 5	02p21	STSL
HGNC:13887	ABCG8	ATP binding cassette subfamily G member 8	02p21	GBD4
HGNC:17553	ABHD1	abhydrolase domain containing 1	02p23.3	"LABH1|FLJ36128"
HGNC:18717	ABHD2	abhydrolase domain containing 2, acylglycerol lipase	15q26.1	LABH2
HGNC:18718	ABHD3	abhydrolase domain containing 3, phospholipase	18q11.2	LABH3
HGNC:20154	ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B	14q11.2	FLJ12816
HGNC:21396	ABHD5	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase	03p21.33	"CGI-58|NCIE2"
HGNC:21398	ABHD6	abhydrolase domain containing 6, acylglycerol lipase	03p14.3	
HGNC:23759	ABHD8	abhydrolase domain containing 8	19p13.11	"FLJ11743|MGC14280|MGC2512"
HGNC:25656	ABHD10	abhydrolase domain containing 10, depalmitoylase	03q13.2	FLJ11342
HGNC:16407	ABHD11	abhydrolase domain containing 11	07q11.23	PP1226
HGNC:15868	ABHD12	abhydrolase domain containing 12, lysophospholipase	20p11.21	"DKFZP434P106|dJ965G21.2|BEM46L2|ABHD12A"
HGNC:19837	ABHD12B	abhydrolase domain containing 12B	14q22.1	BEM46L3
HGNC:20293	ABHD13	abhydrolase domain containing 13	13q33.3	"bA153I24.2|FLJ14906|BEM46L1"
HGNC:24538	ABHD14A	abhydrolase domain containing 14A	03p21.2	"DKFZP564O243|DORZ1"
HGNC:28235	ABHD14B	abhydrolase domain containing 14B	03p21.2	"MGC15429|CIB"
HGNC:26971	ABHD15	abhydrolase domain containing 15	17q11.2	
HGNC:13921	ABHD16A	abhydrolase domain containing 16A, phospholipase	06p21.33	"NG26|D6S82E"
HGNC:16128	ABHD16B	abhydrolase domain containing 16B	20q13.33	dJ591C20.1
HGNC:28756	ABHD17A	abhydrolase domain containing 17A, depalmitoylase	19p13.3	MGC5244
HGNC:24278	ABHD17B	abhydrolase domain containing 17B, depalmitoylase	09q21.13	CGI-67
HGNC:26925	ABHD17C	abhydrolase domain containing 17C, depalmitoylase	15q25.1	
HGNC:26111	ABHD18	abhydrolase domain containing 18	04q28.2	FLJ21106
HGNC:11320	ABI1	abl interactor 1	10p12.1	"E3B1|ABI-1"
HGNC:24011	ABI2	abl interactor 2	02q33.2	"ABI-2|AIP-1|ABI2B|AblBP3|argBPIA|SSH3BP2"
HGNC:29859	ABI3	ABI family member 3	17q21.32	"NESH|SSH3BP3"
HGNC:17265	ABI3BP	ABI family member 3 binding protein	03q12.2	"NESHBP|DKFZP586L2024|TARSH"
HGNC:1364	ABITRAM	actin binding transcription modulator	09q31.3	"CG-8|FLJ20457|Simiate"
HGNC:76	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	09q34.12	"JTK7|c-ABL|p150"
HGNC:77	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	01q25.2	ARG
HGNC:78	ABLIM1	actin binding LIM protein 1	10q25.3	"abLIM|limatin"
HGNC:19195	ABLIM2	actin binding LIM protein family member 2	04p16.1	KIAA1808
HGNC:29132	ABLIM3	actin binding LIM protein family member 3	05q32	KIAA0843
HGNC:79	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	09q34.2	"A3GALNT|A3GALT1"
HGNC:81	ABR	ABR activator of RhoGEF and GTPase	17p13.3	MDB
HGNC:30655	ABRA	actin binding Rho activating protein	08q23.1	STARS
HGNC:21230	ABRACL	ABRA C-terminal like	06q24.1	"PRO2013|HSPC280|Costars"
HGNC:25829	ABRAXAS1	abraxas 1, BRCA1 A complex subunit	04q21.23	"FLJ13614|ABRA1|ABRAXAS"
HGNC:28975	ABRAXAS2	abraxas 2, BRISC complex subunit	10q26.13	"Em:AC068896.4|ABRO1"
HGNC:17369	ABT1	activator of basal transcription 1	06p22.2	Esf2
HGNC:18275	ABTB1	ankyrin repeat and BTB domain containing 1	03q21.3	"BPOZ|EF1ABP|Btb3|BTBD21"
HGNC:23842	ABTB2	ankyrin repeat and BTB domain containing 2	11p13	"DKFZP586C1619|BTBD22|ABTB2A"
HGNC:82	ACAA1	acetyl-CoA acyltransferase 1	03p22.2	
HGNC:83	ACAA2	acetyl-CoA acyltransferase 2	18q21.1	DSAEC
HGNC:84	ACACA	acetyl-CoA carboxylase alpha	17q12	ACC1
HGNC:85	ACACB	acetyl-CoA carboxylase beta	12q24.11	"HACC275|ACC2|ACCB"
HGNC:87	ACAD8	acyl-CoA dehydrogenase family member 8	11q25	
HGNC:21497	ACAD9	acyl-CoA dehydrogenase family member 9	03q21.3	"NPD002|MGC14452"
HGNC:21597	ACAD10	acyl-CoA dehydrogenase family member 10	12q24.12	MGC5601
HGNC:30211	ACAD11	acyl-CoA dehydrogenase family member 11	03q22.1	FLJ12592
HGNC:88	ACADL	acyl-CoA dehydrogenase long chain	02q34	"LCAD|ACAD4"
HGNC:89	ACADM	acyl-CoA dehydrogenase medium chain	01p31.1	"MCAD|MCADH|ACAD1"
HGNC:90	ACADS	acyl-CoA dehydrogenase short chain	12q24.31	"SCAD|ACAD3"
HGNC:91	ACADSB	acyl-CoA dehydrogenase short/branched chain	10q26.13	"SBCAD|ACAD7"
HGNC:92	ACADVL	acyl-CoA dehydrogenase very long chain	17p13.1	"VLCAD|LCACD|ACAD6"
HGNC:319	ACAN	aggrecan	15q26.1	CSPGCP
HGNC:16467	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	17p13.1	KIAA0050
HGNC:16469	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	03q29	"KIAA0041|CNT-B2"
HGNC:16754	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	01p36.33	KIAA1716
HGNC:93	ACAT1	acetyl-CoA acetyltransferase 1	11q22.3	THIL
HGNC:94	ACAT2	acetyl-CoA acetyltransferase 2	06q25.3	
HGNC:15453	ACBD3	acyl-CoA binding domain containing 3	01q42.12	"GCP60|PAP7"
HGNC:23337	ACBD4	acyl-CoA binding domain containing 4	17q21.31	FLJ13322
HGNC:23338	ACBD5	acyl-CoA binding domain containing 5	10p12.1	"DKFZp434A2417|KIAA1996"
HGNC:23339	ACBD6	acyl-CoA binding domain containing 6	01q25.2-q25.3	MGC2404
HGNC:17715	ACBD7	acyl-CoA binding domain containing 7	10p13	"FLJ38219|bA455B2.2"
HGNC:23989	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	11p11.2	"PHACS|ACS"
HGNC:34391	ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like	11p11.2	
HGNC:25070	ACD	ACD shelterin complex subunit and telomerase recruitment factor	16q22.1	"Ptop|Pip1|Tpp1|Tint1"
HGNC:2707	ACE	angiotensin I converting enzyme	17q23.3	"ACE1|CD143"
HGNC:13557	ACE2	angiotensin converting enzyme 2	Xp22.2	ACEH
HGNC:18356	ACER1	alkaline ceramidase 1	19p13.3	
HGNC:23675	ACER2	alkaline ceramidase 2	09p22.1	"FLJ41587|ALKCDase2"
HGNC:16066	ACER3	alkaline ceramidase 3	11q13.5	"FLJ11238|APHC"
HGNC:108	ACHE	acetylcholinesterase (Cartwright blood group)	07q22.1	
HGNC:17066	ACIN1	apoptotic chromatin condensation inducer 1	14q11.2	"KIAA0670|fSAP152"
HGNC:4035	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	01q23.2	"CCBP1|GPD|Dfy|CD234"
HGNC:1565	ACKR2	atypical chemokine receptor 2	03p22.1	"CCR10|D6|CCR9"
HGNC:23692	ACKR3	atypical chemokine receptor 3	02q37.3	"RDC1|GPR159"
HGNC:1611	ACKR4	atypical chemokine receptor 4	03q22.1	"CCR11|CCBP2|VSHK1|CCX-CKR|PPR1"
HGNC:115	ACLY	ATP citrate lyase	17q21.2	"ATPCL|CLATP|ACL"
HGNC:19288	ACMSD	aminocarboxymuconate semialdehyde decarboxylase	02q21.3	
HGNC:117	ACO1	aconitase 1	09p21.1	"IRP1|IREBP"
HGNC:118	ACO2	aconitase 2	22q13.2	ACONM
HGNC:33904	ACOD1	aconitate decarboxylase 1	13q22.3	CAD
HGNC:33128	ACOT1	acyl-CoA thioesterase 1	14q24.3	"ACH2|CTE-1|LACH2"
HGNC:18431	ACOT2	acyl-CoA thioesterase 2	14q24.3	"Mte1|ZAP128"
HGNC:19748	ACOT4	acyl-CoA thioesterase 4	14q24.3	"FLJ31235|PTE-Ib|PTE2B"
HGNC:33159	ACOT6	acyl-CoA thioesterase 6	14q24.3	
HGNC:24157	ACOT7	acyl-CoA thioesterase 7	01p36.31	"BACH|ACH1|ACT|CTE-II|LACH1|MGC1126|hBACH"
HGNC:15919	ACOT8	acyl-CoA thioesterase 8	20q13.12	"hACTE-III|hTE|PTE-2|NAP1"
HGNC:17152	ACOT9	acyl-CoA thioesterase 9	Xp22.11	"CGI-16|MT-ACT48|ACATE2"
HGNC:18156	ACOT11	acyl-CoA thioesterase 11	01p32.3	"STARD14|BFIT|KIAA0707|BFIT1|THEM1"
HGNC:24436	ACOT12	acyl-CoA thioesterase 12	05q14.1	"Cach|THEAL|STARD15"
HGNC:20999	ACOT13	acyl-CoA thioesterase 13	06p22.3	HT012
HGNC:119	ACOX1	acyl-CoA oxidase 1	17q25.1	PALMCOX
HGNC:120	ACOX2	acyl-CoA oxidase 2	03p14.3	"BRCACOX|BRCOX|THCCox"
HGNC:121	ACOX3	acyl-CoA oxidase 3, pristanoyl	04p16.1	
HGNC:25621	ACOXL	acyl-CoA oxidase like	02q13	FLJ11042
HGNC:122	ACP1	acid phosphatase 1	02p25.3	"HAAP|LMW-PTP|LMWPTP"
HGNC:123	ACP2	acid phosphatase 2, lysosomal	11p11.2	LAP
HGNC:125	ACP3	acid phosphatase 3	03q22.1	"ACP-3|PAP|TM-PAP"
HGNC:14376	ACP4	acid phosphatase 4	19q13.33	
HGNC:124	ACP5	acid phosphatase 5, tartrate resistant	19p13.2	"TRAP|HPAP"
HGNC:29609	ACP6	acid phosphatase 6, lysophosphatidic	01q21.2	"LPAP|ACPL1"
HGNC:33781	ACP7	acid phosphatase 7, tartrate resistant (putative)	19q13.2	"FLJ16165|PAPL1|PAPL"
HGNC:126	ACR	acrosin	22q13.33	
HGNC:17195	ACRBP	acrosin binding protein	12p13.31	"SP32|OY-TES-1|CT23"
HGNC:127	ACRV1	acrosomal vesicle protein 1	11q24.2	"SPACA2|SP-10|D11S4365"
HGNC:29567	ACSBG1	acyl-CoA synthetase bubblegum family member 1	15q25.1	"BGM|FLJ30320|MGC14352|BG1|KIAA0631|hBG1|hsBG"
HGNC:24174	ACSBG2	acyl-CoA synthetase bubblegum family member 2	19p13.3	"BGR|PRTD-NY3|DKFZp434K1635"
HGNC:26101	ACSF2	acyl-CoA synthetase family member 2	17q21.33	"FLJ20920|ACSMW"
HGNC:27288	ACSF3	acyl-CoA synthetase family member 3	16q24.3	
HGNC:3569	ACSL1	acyl-CoA synthetase long chain family member 1	04q35.1	"LACS2|LACS|ACS1|LACS1|FACL1"
HGNC:3570	ACSL3	acyl-CoA synthetase long chain family member 3	02q36.1	"ACS3|PRO2194"
HGNC:3571	ACSL4	acyl-CoA synthetase long chain family member 4	Xq23	"ACS4|LACS4"
HGNC:16526	ACSL5	acyl-CoA synthetase long chain family member 5	10q25.2	"ACS5|ACS2"
HGNC:16496	ACSL6	acyl-CoA synthetase long chain family member 6	05q31.1	"KIAA0837|ACS2|LACS5|LACS2"
HGNC:18049	ACSM1	acyl-CoA synthetase medium chain family member 1	16p12.3	MACS1
HGNC:32017	ACSM2A	acyl-CoA synthetase medium chain family member 2A	16p12.3	"A-923A4.1|MGC150530"
HGNC:30931	ACSM2B	acyl-CoA synthetase medium chain family member 2B	16p12.3	"HXMA|HYST1046"
HGNC:10522	ACSM3	acyl-CoA synthetase medium chain family member 3	16p12.3	SA
HGNC:32016	ACSM4	acyl-CoA synthetase medium chain family member 4	12p13.31	
HGNC:26060	ACSM5	acyl-CoA synthetase medium chain family member 5	16p12.3	FLJ20581
HGNC:31665	ACSM6	acyl-CoA synthetase medium chain family member 6	10q23.33	bA310E22.3
HGNC:16091	ACSS1	acyl-CoA synthetase short chain family member 1	20p11.21	"dJ568C11.3|AceCS2L|MGC33843"
HGNC:15814	ACSS2	acyl-CoA synthetase short chain family member 2	20q11.22	"ACS|ACSA|AceCS|dJ1161H23.1"
HGNC:24723	ACSS3	acyl-CoA synthetase short chain family member 3	12q21.31	FLJ21963
HGNC:129	ACTA1	actin alpha 1, skeletal muscle	01q42.13	NEM3
HGNC:130	ACTA2	actin alpha 2, smooth muscle	10q23.31	ACTSA
HGNC:132	ACTB	actin beta	07p22.1	
HGNC:17780	ACTBL2	actin beta like 2	05q11.2	DKFZp686D0972
HGNC:143	ACTC1	actin alpha cardiac muscle 1	15q14	CMD1R
HGNC:144	ACTG1	actin gamma 1	17q25.3	
HGNC:145	ACTG2	actin gamma 2, smooth muscle	02p13.1	ACTSG
HGNC:24124	ACTL6A	actin like 6A	03q26.33	"Actl6|BAF53A|Arp4|Baf53a|INO80K|SMARCN1"
HGNC:160	ACTL6B	actin like 6B	07q22.1	"BAF53B|SMARCN2"
HGNC:161	ACTL7A	actin like 7A	09q31.3	
HGNC:162	ACTL7B	actin like 7B	09q31.3	Tact1
HGNC:24018	ACTL8	actin like 8	01p36.13	CT57
HGNC:28494	ACTL9	actin like 9	19p13.2	MGC33407
HGNC:16127	ACTL10	actin like 10	20q11.22	
HGNC:163	ACTN1	actinin alpha 1	14q24.1	
HGNC:164	ACTN2	actinin alpha 2	01q43	
HGNC:165	ACTN3	actinin alpha 3	11q13.2	
HGNC:166	ACTN4	actinin alpha 4	19q13.2	
HGNC:167	ACTR1A	actin related protein 1A	10q24.32	"ARP1|Arp1A"
HGNC:168	ACTR1B	actin related protein 1B	02q11.2	Arp1B
HGNC:169	ACTR2	actin related protein 2	02p14	ARP2
HGNC:170	ACTR3	actin related protein 3	02q14.1	ARP3
HGNC:17256	ACTR3B	actin related protein 3B	07q36.1-q36.2	"ARP11|ARP3beta"
HGNC:37282	ACTR3C	actin related protein 3C	07q36.1	ARP11
HGNC:14671	ACTR5	actin related protein 5	20q11.23	"FLJ12785|Arp5|INO80M"
HGNC:24025	ACTR6	actin related protein 6	12q23.1	"ARP6|FLJ13433"
HGNC:14672	ACTR8	actin related protein 8	03p21.1	"INO80N|ARP8"
HGNC:17372	ACTR10	actin related protein 10	14q23.1	"HARP11|ACTR11|Arp11|Arp10"
HGNC:24027	ACTRT1	actin related protein T1	Xq25	"AIP1|KIAA0705|ARIP1|Arp-T1"
HGNC:24026	ACTRT2	actin related protein T2	01p36.32	"Arp-T2|ARPM2|FLJ25424"
HGNC:24022	ACTRT3	actin related protein T3	03q26.2	ARPM1
HGNC:171	ACVR1	activin A receptor type 1	02q24.1	"SKR1|ALK2|ACVR1A"
HGNC:172	ACVR1B	activin A receptor type 1B	12q13.13	"ALK4|SKR2|ActRIB"
HGNC:18123	ACVR1C	activin A receptor type 1C	02q24.1	"ALK7|ACVRLK7"
HGNC:173	ACVR2A	activin A receptor type 2A	02q22.3-q23.1	ACTRII
HGNC:174	ACVR2B	activin A receptor type 2B	03p22.2	ActR-IIB
HGNC:175	ACVRL1	activin A receptor like type 1	12q13.13	"HHT2|ALK1|HHT"
HGNC:177	ACY1	aminoacylase 1	03p21.2	
HGNC:24104	ACY3	aminoacylase 3	11q13.2	"HCBP1|MGC9740|ACY-3"
HGNC:179	ACYP1	acylphosphatase 1	14q24.3	
HGNC:180	ACYP2	acylphosphatase 2	02p16.2	
HGNC:186	ADA	adenosine deaminase	20q13.12	ADA1
HGNC:1839	ADA2	adenosine deaminase 2	22q11.1	ADGF
HGNC:30713	ADAD1	adenosine deaminase domain containing 1	04q27	Tenr
HGNC:30714	ADAD2	adenosine deaminase domain containing 2	16q24.1	"TENRL|FLJ00337"
HGNC:31853	ADAL	adenosine deaminase like	15q15.3	
HGNC:198	ADAM2	ADAM metallopeptidase domain 2	08p11.22	"PH-30b|PH30|CT15"
HGNC:214	ADAM7	ADAM metallopeptidase domain 7	08p21.2	"GP-83|EAPI"
HGNC:215	ADAM8	ADAM metallopeptidase domain 8	10q26.3	"CD156|MS2|CD156A"
HGNC:216	ADAM9	ADAM metallopeptidase domain 9	08p11.22	"MDC9|KIAA0021|MCMP|Mltng"
HGNC:188	ADAM10	ADAM metallopeptidase domain 10	15q21.3	"kuz|MADM|HsT18717|CD156C"
HGNC:189	ADAM11	ADAM metallopeptidase domain 11	17q21.31	
HGNC:190	ADAM12	ADAM metallopeptidase domain 12	10q26.2	"MCMPMltna|MLTN"
HGNC:193	ADAM15	ADAM metallopeptidase domain 15	01q21.3	MDC15
HGNC:195	ADAM17	ADAM metallopeptidase domain 17	02p25.1	"cSVP|CD156B"
HGNC:196	ADAM18	ADAM metallopeptidase domain 18	08p11.22	"tMDCIII|ADAM27"
HGNC:197	ADAM19	ADAM metallopeptidase domain 19	05q33.3	MLTNB
HGNC:199	ADAM20	ADAM metallopeptidase domain 20	14q24.2	
HGNC:200	ADAM21	ADAM metallopeptidase domain 21	14q24.2	ADAM31
HGNC:201	ADAM22	ADAM metallopeptidase domain 22	07q21.12	MDC2
HGNC:202	ADAM23	ADAM metallopeptidase domain 23	02q33.3	MDC3
HGNC:206	ADAM28	ADAM metallopeptidase domain 28	08p21.2	"eMDCII|MDC-Lm|MDC-Ls|ADAM23"
HGNC:207	ADAM29	ADAM metallopeptidase domain 29	04q34.1	"svph1|CT73"
HGNC:208	ADAM30	ADAM metallopeptidase domain 30	01p12	svph4
HGNC:15479	ADAM32	ADAM metallopeptidase domain 32	08p11.22	
HGNC:15478	ADAM33	ADAM metallopeptidase domain 33	20p13	"DKFZp434K0521|dJ964F7.1"
HGNC:16299	ADAMDEC1	ADAM like decysin 1	08p21.2	M12.219
HGNC:217	ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1	21q21.3	"C3-C5|METH1|KIAA1346"
HGNC:218	ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2	05q35.3	"ADAMTS-3|hPCPNI|PCINP|ADAM-TS2|NPI"
HGNC:219	ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif 3	04q13.3	"KIAA0366|ADAMTS-4"
HGNC:220	ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif 4	01q23.3	"KIAA0688|ADAMTS-2|ADMP-1"
HGNC:221	ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5	21q21.3	"ADMP-2|ADAMTS11"
HGNC:222	ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif 6	05q12.3	ADAM-TS6
HGNC:223	ADAMTS7	ADAM metallopeptidase with thrombospondin type 1 motif 7	15q25.1	"ADAM-TS7|DKFZp434H204"
HGNC:224	ADAMTS8	ADAM metallopeptidase with thrombospondin type 1 motif 8	11q24.3	"METH2|FLJ41712|ADAM-TS8"
HGNC:13202	ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif 9	03p14.1	KIAA1312
HGNC:13201	ADAMTS10	ADAM metallopeptidase with thrombospondin type 1 motif 10	19p13.2	ADAM-TS10
HGNC:14605	ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif 12	05p13.3-p13.2	
HGNC:1366	ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif 13	09q34.2	"VWFCP|TTP|vWF-CP|FLJ42993|MGC118899|MGC118900|DKFZp434C2322"
HGNC:14899	ADAMTS14	ADAM metallopeptidase with thrombospondin type 1 motif 14	10q22.1	
HGNC:16305	ADAMTS15	ADAM metallopeptidase with thrombospondin type 1 motif 15	11q24.3	
HGNC:17108	ADAMTS16	ADAM metallopeptidase with thrombospondin type 1 motif 16	05p15.32	ADAMTS16s
HGNC:17109	ADAMTS17	ADAM metallopeptidase with thrombospondin type 1 motif 17	15q26.3	"FLJ32769|FLJ16363"
HGNC:17110	ADAMTS18	ADAM metallopeptidase with thrombospondin type 1 motif 18	16q23.1	
HGNC:17111	ADAMTS19	ADAM metallopeptidase with thrombospondin type 1 motif 19	05q23.3	
HGNC:17178	ADAMTS20	ADAM metallopeptidase with thrombospondin type 1 motif 20	12q12	GON-1
